quote_id,quote_date,sku_id,title,market,customer_tier,quantity,list_price_usd,unit_cost_usd,pred_q10,pred_q50,pred_q90,recommended_unit_price,expected_margin_pct,confidence_score,decision,reason_codes,accepted_unit_price_usd,quote_won,cluster_id
Q-000144890,2025-10-24 20:00:00,B00D7BYMB2,"AMD Athlon Multi Core Processor AD760KWOHLBOX, 760K Richland 3.8GHz Socket FM2 100W",IE,strategic,12,29.97,15.697929359803696,22.176888,24.449503,28.589165,24.45,0.3579578993945319,0.5190965,MANUAL_REVIEW,STRATEGIC_ACCOUNT,25.272568519085244,True,0
Q-000124685,2025-10-25 05:00:00,B09182RG4C,"65W USB C Laptop Charger-Chromebook Charger Replacement for 45W Lenovo Thinkpad-Yoga-Chromebook,HP Acer Asus Samsung Mac book pro Dell Chromebook 3100 Latitude xps 13 Google Series Fast Charger Type c",FR,mid_market,4,11.99,7.947709487728392,10.590934,11.495013,13.7190695,11.5,0.3088948271540529,0.5064526,MANUAL_REVIEW,LOW_CONFIDENCE,12.340342644932626,True,1
Q-000130875,2025-10-25 06:00:00,B00B9U8BZ6,Linksys WET610N Dual-Band Wireless-N Ethernet Bridge,FR,channel,1,91.21,51.82221970801112,70.39607,81.96904,89.811005,81.97,0.3677904146881649,0.55314106,AUTO_APPROVE,ALL_GUARDRAILS_PASS,83.69938010229774,True,3
Q-000121657,2025-10-26 18:00:00,B086JHQMFK,65W 45W Ac Adapter Charger for Lenovo IdeaPad S145 S340 S540 710s 710 510s 510 310 110 100 100s/YOGA 710 Flex 4 5 6 Series Flex 4 1470 1580 GX20K11838 ADLX65CLGU2A Laptop Power Supply Adapter Cord,NL,mid_market,120,16.97,10.879152873426415,12.352488,13.192907,16.787796,13.92,0.2184516613917803,0.43150675,MANUAL_REVIEW,LOW_CONFIDENCE,12.65017775979816,True,1
Q-000149558,2025-10-26 23:00:00,B0C3SNVPC1,"OEM HP ProBook 455 G8 Notebook PC 15.6” FHD IPS, AMD Ryzen 5 5600U Hexa Core (Beats Intel i7-1255U), 16GB RAM, 512GB NVMe, W10P Business Laptop",DE,mid_market,5,679.95,373.9989747935296,477.54996,638.07996,689.8056,638.08,0.4138682065046239,0.4353441,MANUAL_REVIEW,LOW_CONFIDENCE,629.545560778162,True,3
Q-000117996,2025-11-01 09:00:00,B0055OW68U,Charger for Samsung Notebook 9 Series Laptop: UL Listed Long Power Cord AD-4019A AD-4019P Np900x Ultrabook PA-1400-24 AD-4019SL Galaxy View Tablet SM-T670 T677 Tab 540U 900X 940X Chromebook 3 XE500C13,UK,channel,2,22.99,15.630324674613956,19.666325,21.76908,24.968193,21.77,0.2820245900498871,0.54396194,MANUAL_REVIEW,LOW_INVENTORY,21.574126301173045,True,1
Q-000170161,2025-11-01 22:00:00,B095ZJ8QQQ,Seasonic FOCUS Plus 650 Platinum SSR-650PX 650W 80+ Platinum ATX12V & EPS12V Full Modular 120mm FDB Fan Compact 140 mm Size Power Supply,UK,mid_market,4,176.36,105.2887933262913,139.10744,170.07863,184.32831,170.08,0.3809454766798489,0.51442504,AUTO_APPROVE,ALL_GUARDRAILS_PASS,185.03561613314872,True,1
Q-000053327,2025-11-02 00:00:00,B08R3T2DD8,"Keyboard Cover Skin for 2020 Lenovo Flex 3 Chromebook/Lenovo 2-in-1 Convertible Chromebook 11.6"", Lenovo Chromebook 11.6 Laptop Accessories,Ombre Purple",UK,channel,1,9.59,6.520183728799119,8.589146,9.256324,10.96722,9.26,0.2958764871707214,0.52608955,MANUAL_REVIEW,LOW_INVENTORY,10.832022622194554,True,0
Q-000011299,2025-11-02 04:00:00,B07Q4BF9YM,"Dasaita 9"" Android 10.0 Car Stereo Head Unit 4G RAM 64G ROM for Subaru Forester XT Impreza WRX 2008 2009 2010 2011 2012 Radio Touch Screen GPS Navigation Dash Built in DSP Bluetooth -Compatible",UK,channel,2,448.98,297.493289783472,325.39627,426.00333,450.89035,426.0,0.3016589441702535,0.47880498,MANUAL_REVIEW,LOW_CONFIDENCE,473.3860244897554,True,2
Q-000131758,2025-11-02 04:00:00,B07JLMLKJH,"Aux Cord – 3.5mm Audio Cable – 8ft – Designed in Germany with Break-Proof Metal Plug (Headphone Cable & aux Cable for iPhone/car/Laptop, Auxiliary Cord, 3.5mm Male to Male, Nylon) – by CableDirect",UK,mid_market,8,8.99,6.660657506485769,8.222613,8.839509,10.540585,8.84,0.2465319562798903,0.51914537,AUTO_APPROVE,ALL_GUARDRAILS_PASS,,False,1
Q-000170967,2025-11-02 07:00:00,B07R8CHD5Y,ALITOVE 24V 5A 120W Power Supply Universal Regulated Switching Transformer Adapter AC110V to DC 24V 5amp Converter Driver for LED Strip Light CCTV Camera Security System,UK,mid_market,10,17.99,11.655381735932078,16.323128,18.269606,21.014746,18.27,0.3620480713775545,0.5262401,MANUAL_REVIEW,LOW_INVENTORY,18.655747157003788,True,0
Q-000150501,2025-11-02 08:00:00,B08PTZ5JCG,MoCA 2.5 with 2 Gigabit Ethernet Ports - Ethernet Over Coaxial Adapter (Model: TL-MC84) (Three Pack),UK,channel,4,179.99,102.06151933375024,136.30444,167.83856,186.22859,167.84,0.3919118247512497,0.4753835,MANUAL_REVIEW,LOW_CONFIDENCE,181.9158333783387,True,3
Q-000162699,2025-11-02 09:00:00,B071XNH5BC,Sapphire 11266-09-20G Radeon Nitro+ Rx 570 8GB GDDR5 Dual HDMI/ DVI-D/ Dual DP with Backplate (UEFI) PCI-E Graphics Card,UK,channel,17,79.5,51.29491526302216,62.449738,74.39397,80.83824,74.39,0.3104595340365351,0.5390519,MANUAL_REVIEW,LOW_INVENTORY,,False,2
Q-000033672,2025-11-02 17:00:00,B0791KWJH9,GladsBuy Evening Eiffel Tower View from Balcony 8' x 8' Computer Printed Photography Backdrop Balcony Landscape Theme Background ZJZ-041,UK,mid_market,4,59.99,39.95118300337876,50.084007,57.447174,64.223366,57.45,0.3045921148236944,0.5404679,AUTO_APPROVE,ALL_GUARDRAILS_PASS,,False,4
Q-000114453,2025-11-02 17:00:00,B0C6B4TZX8,"USB WiFi 6 Wireless Adapter for PC, QGOO AX1800 USB 3.0 WiFi Dongle Dual Band 5Ghz/2.4Ghz High Gain Dual 5dBi Antennas 802.11ax MU-MIMO Wireless Network Adapter for Desktop Laptop Windows 11/10/7",UK,channel,13,38.99,18.226020905047275,30.298372,34.572334,39.533447,34.57,0.4727792622202119,0.51283133,AUTO_APPROVE,ALL_GUARDRAILS_PASS,36.96038761818084,True,1
